user_seed = 6267673218
------------- Ours (eta = 0.1) ------------------------
[u0 - area10] sA --> s #38(area 10), n_serv = 2.0, Tq = 0.06
              sR --> s #38(area 10), n_serv = 14.0, Tq = 1.45
[u1 - area8] sA --> s #35(area 8), n_serv = 2.0, Tq = 0.03
              sR --> s #35(area 8), n_serv = 13.0, Tq = 1.3
[u2 - area8] sA --> s #35(area 8), n_serv = 2.0, Tq = 0.11
              sR --> s #35(area 8), n_serv = 13.0, Tq = 1.3
[u3 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.33
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u4 - area8] sA --> s #35(area 8), n_serv = 2.0, Tq = 0.03
              sR --> s #35(area 8), n_serv = 13.0, Tq = 1.3
[u5 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 1.04
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u6 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 1.04
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u7 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 7.0, Tq = 2.7
[u8 - area8] sA --> s #34(area 8), n_serv = 2.0, Tq = 0.05
              sR --> s #34(area 8), n_serv = 15.0, Tq = 1.92
[u9 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 0.87
              sR --> s #33(area 7), n_serv = 13.0, Tq = 1.3
[u10 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.06
              sR --> s #21(area 1), n_serv = 13.0, Tq = 0.99
[u11 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.24
              sR --> s #5(area 0), n_serv = 7.0, Tq = 2.7
[u12 - area2] sA --> s #22(area 2), n_serv = 2.0, Tq = 0.02
              sR --> s #22(area 2), n_serv = 14.0, Tq = 1.06
[u13 - area8] sA --> s #35(area 8), n_serv = 2.0, Tq = 0.03
              sR --> s #35(area 8), n_serv = 13.0, Tq = 1.3
[u14 - area9] sA --> s #36(area 9), n_serv = 2.0, Tq = 0.09
              sR --> s #36(area 9), n_serv = 14.0, Tq = 1.06
[u15 - area2] sA --> s #22(area 2), n_serv = 2.0, Tq = 0.07
              sR --> s #22(area 2), n_serv = 14.0, Tq = 1.06
[u16 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 0.87
              sR --> s #33(area 7), n_serv = 13.0, Tq = 1.3
[u17 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.23
              sR --> s #21(area 1), n_serv = 13.0, Tq = 0.99
[u18 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.68
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u19 - area9] sA --> s #36(area 9), n_serv = 2.0, Tq = 0.09
              sR --> s #36(area 9), n_serv = 14.0, Tq = 1.06
[u20 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u21 - area5] sA --> s #29(area 5), n_serv = 2.0, Tq = 0.11
              sR --> s #29(area 5), n_serv = 13.0, Tq = 1.3
[u22 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.68
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u23 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.06
              sR --> s #21(area 1), n_serv = 13.0, Tq = 0.99
[u24 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.68
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u25 - area7] sA --> s #33(area 7), n_serv = 2.0, Tq = 0.08
              sR --> s #33(area 7), n_serv = 13.0, Tq = 1.3
[u26 - area8] sA --> s #35(area 8), n_serv = 1.0, Tq = 1.08
