------------- Ours (eta = 0.25) ------------------------
[user0 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0007215007215007214
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user1 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0010404022888850356
                 serv_R --> site #34(area 8), num_server = 13.0, Tq = 0.002030382116244847
[user2 - area5] serv_A --> site #29(area 5), num_server = 2.0, Tq = 0.00011375126390293227
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user3 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.0017391304347826088
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user4 - area8] serv_A --> site #34(area 8), num_server = 1.0, Tq = 0.0011344299489506522
                 serv_R --> site #34(area 8), num_server = 13.0, Tq = 0.002030382116244847
[user5 - area9] serv_A --> site #36(area 9), num_server = 1.0, Tq = 0.000945626477541371
                 serv_R --> site #36(area 9), num_server = 11.0, Tq = 0.003074208720788784
[user6 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.0017391304347826088
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user7 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.001276595744680851
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user8 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.0017391304347826088
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user9 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0006751054852320675
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user10 - area3] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0006751054852320675
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user11 - area3] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0008552856654122479
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user12 - area4] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0009775171065493646
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user13 - area7] serv_A --> site #33(area 7), num_server = 1.0, Tq = 0.0028476506881822496
                 serv_R --> site #33(area 7), num_server = 11.0, Tq = 0.001792660069072908
[user14 - area9] serv_A --> site #36(area 9), num_server = 2.0, Tq = 8.704061895551256e-05
                 serv_R --> site #36(area 9), num_server = 11.0, Tq = 0.003074208720788784
[user15 - area3] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0003287851389117212
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user16 - area5] serv_A --> site #29(area 5), num_server = 2.0, Tq = 0.00011375126390293227
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user17 - area3] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0008552856654122479
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user18 - area5] serv_A --> site #29(area 5), num_server = 2.0, Tq = 7.887604786829592e-05
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user19 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user20 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0008552856654122479
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user21 - area4] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user22 - area5] serv_A --> site #29(area 5), num_server = 1.0, Tq = 0.0011344299489506522
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user23 - area9] serv_A --> site #36(area 9), num_server = 1.0, Tq = 0.000945626477541371
                 serv_R --> site #36(area 9), num_server = 11.0, Tq = 0.003074208720788784
[user24 - area4] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0009775171065493646
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user25 - area4] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0009775171065493646
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user26 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.001276595744680851
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user27 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.0022222222222222222
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user28 - area8] serv_A --> site #34(area 8), num_server = 1.0, Tq = 0.0011344299489506522
                 serv_R --> site #34(area 8), num_server = 13.0, Tq = 0.002030382116244847
[user29 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user30 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0004996668887408394
                 serv_R --> site #34(area 8), num_server = 13.0, Tq = 0.002030382116244847
[user31 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0007215007215007214
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user32 - area5] serv_A --> site #29(area 5), num_server = 1.0, Tq = 0.001744186046511628
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user33 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0010404022888850356
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user34 - area9] serv_A --> site #36(area 9), num_server = 1.0, Tq = 0.0014506769825918758
                 serv_R --> site #36(area 9), num_server = 11.0, Tq = 0.003074208720788784
[user35 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.0017391304347826088
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user36 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0012419274714356684
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user37 - area7] serv_A --> site #33(area 7), num_server = 1.0, Tq = 0.0008684324793747286
                 serv_R --> site #33(area 7), num_server = 11.0, Tq = 0.001792660069072908
[user38 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0009775171065493646
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user39 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user40 - area10] serv_A --> site #38(area 10), num_server = 2.0, Tq = 6.44007892960736e-05
                 serv_R --> site #39(area 10), num_server = 10.0, Tq = 0.004400087116442253
[user41 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user42 - area10] serv_A --> site #38(area 10), num_server = 1.0, Tq = 0.0015166835187057632
                 serv_R --> site #38(area 10), num_server = 11.0, Tq = 0.004122052490433903
[user43 - area5] serv_A --> site #29(area 5), num_server = 1.0, Tq = 0.001744186046511628
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user44 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0006751054852320675
                 serv_R --> site #34(area 8), num_server = 13.0, Tq = 0.002030382116244847
[user45 - area4] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user46 - area7] serv_A --> site #33(area 7), num_server = 1.0, Tq = 0.0008684324793747286
                 serv_R --> site #33(area 7), num_server = 11.0, Tq = 0.001792660069072908
[user47 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0009775171065493646
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user48 - area5] serv_A --> site #29(area 5), num_server = 1.0, Tq = 0.0023852116875372684
                 serv_R --> site #29(area 5), num_server = 10.0, Tq = 0.004400087116442253
[user49 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0003287851389117212
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user50 - area10] serv_A --> site #38(area 10), num_server = 1.0, Tq = 0.0020703933747412005
                 serv_R --> site #39(area 10), num_server = 10.0, Tq = 0.004400087116442253
[user51 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.00047348484848484844
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user52 - area2] serv_A --> site #22(area 2), num_server = 2.0, Tq = 7.226013649136891e-05
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user53 - area2] serv_A --> site #22(area 2), num_server = 1.0, Tq = 0.0022222222222222222
                 serv_R --> site #22(area 2), num_server = 11.0, Tq = 0.003074208720788784
[user54 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0004996668887408394
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user55 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0015151515151515154
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user56 - area3] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0003287851389117212
                 serv_R --> site #0(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user57 - area6] serv_A --> site #5(area 0), num_server = 1.0, Tq = 0.0012419274714356684
                 serv_R --> site #5(area 0), num_server = 6.0, Tq = 0.003181866062084858
[user58 - area7] serv_A --> site #33(area 7), num_server = 1.0, Tq = 0.0018140589569160996
                 serv_R --> site #33(area 7), num_server = 11.0, Tq = 0.001792660069072908
[user59 - area8] serv_A --> site #0(area 0), num_server = 1.0, Tq = 0.0006751054852320675
