------------- Ours (eta = 0.5) ------------------------
[u0 - area10] sA --> s #39(area 10), n_serv = 2.0, Tq = 0.11
              sR --> s #39(area 10), n_serv = 11.0, Tq = 7.15
[u1 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u2 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 1.04
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u3 - area3] sA --> s #25(area 3), n_serv = 1.0, Tq = 1.03
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u4 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u5 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.52
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u6 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.52
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u7 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u8 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.68
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u9 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 0.87
              sR --> s #33(area 7), n_serv = 11.0, Tq = 7.15
[u10 - area1] sA --> s #21(area 1), n_serv = 1.0, Tq = 2.85
              sR --> s #21(area 1), n_serv = 11.0, Tq = 5.31
[u11 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.24
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u12 - area2] sA --> s #22(area 2), n_serv = 1.0, Tq = 1.28
              sR --> s #22(area 2), n_serv = 12.0, Tq = 5.33
[u13 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u14 - area9] sA --> s #36(area 9), n_serv = 1.0, Tq = 3.11
              sR --> s #36(area 9), n_serv = 12.0, Tq = 5.33
[u15 - area2] sA --> s #22(area 2), n_serv = 1.0, Tq = 2.73
              sR --> s #22(area 2), n_serv = 12.0, Tq = 5.33
[u16 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 0.87
              sR --> s #33(area 7), n_serv = 11.0, Tq = 7.15
[u17 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.23
              sR --> s #21(area 1), n_serv = 11.0, Tq = 5.31
[u18 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u19 - area9] sA --> s #36(area 9), n_serv = 1.0, Tq = 3.11
              sR --> s #36(area 9), n_serv = 12.0, Tq = 5.33
[u20 - area3] sA --> s #25(area 3), n_serv = 1.0, Tq = 1.59
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u21 - area5] sA --> s #29(area 5), n_serv = 1.0, Tq = 3.77
              sR --> s #29(area 5), n_serv = 11.0, Tq = 7.15
[u22 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u23 - area1] sA --> s #21(area 1), n_serv = 1.0, Tq = 2.85
              sR --> s #21(area 1), n_serv = 11.0, Tq = 5.31
[u24 - area3] sA --> s #25(area 3), n_serv = 1.0, Tq = 2.17
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u25 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 2.85
              sR --> s #33(area 7), n_serv = 11.0, Tq = 7.15
[u26 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.33
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u27 - area3] sA --> s #25(area 3), n_serv = 1.0, Tq = 2.17
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u28 - area8] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.33
              sR --> s #0(area 0), n_serv = 6.0, Tq = 9.79
[u29 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u30 - area2] sA --> s #22(area 2), n_serv = 1.0, Tq = 2.73
              sR --> s #22(area 2), n_serv = 12.0, Tq = 5.33
